Method ID,Method Name,Method Context 
5530-C,Phenols in Water by Spectrophotometry- Chloroform Extraction Meth,APHA
5530-D,Phenols in Water by Spectrophotometry- Direct Photometric Method,APHA
PMD-PFI,Phenothiazine by IR Spectroscopy,USEPA
1658,Phenoxy-Acid Herbicides in Wastewater,USEPA
P-007-1,Phenoxyherbicides in Soil/Sediment,USEPA
P-008-1,Phenoxyherbicides in Water,USEPA
1617,Phenyl Ether by GC/FID,NIOSH
2013,Phenyl Ether-Diphenyl Mixture by GC/FID,NIOSH
1619,Phenyl Glycidyl Ether by GC/FID,NIOSH
3518,Phenylhydrazine by Visible Absorption,NIOSH
PMD-PGM,Phorate by IR Spectroscopy,USEPA
TO-6,Phosgene Determination in Air,USEPA
6002,Phosphine by UV-VIS Spectrometer,NIOSH
I6600,Phosphorous by Auto-Discrete Colorimetry,USDOI/USGS
PHOS-2,Phosphorus - Ascorbic Acid,USDOC/NOAA
PHOS-3,Phosphorus - AutoAnalyzer,USDOC/NOAA
PHOS-5,Phosphorus - AutoAnalyzer,USDOC/NOAA
PHOS-4,Phosphorus - Colorimetric,USDOC/NOAA
PHOS-1,"Phosphorus - Colorimetric, Automated",USDOC/NOAA
I2599,Phosphorus by Auto-Discrete Colorimetry,USDOI/USGS
365.1,Phosphorus by Colorimetry,USEPA
PMD-P-HS,Phosphorus by Digestion and Gravimetry,USEPA
7905,Phosphorus by GC/FPD,NIOSH
365.2,Phosphorus by Single Reagent Colorimetry,USEPA
365.3,Phosphorus by Two Reagent Colorimetry,USEPA
I2600(S),Phosphorus in Solids by Colorimetry,USDOI/USGS
973.56,Phosphorus in Water - Automated,AOAC
973.55,Phosphorus in Water - Photometric,AOAC
D515(A),Phosphorus in Water by Colorimetric Reduction,ASTM
365_M,Phosphorus in Water by Colorimetry,USEPA
I2600(W),Phosphorus in Water by Colorimetry,USDOI/USGS
4500-P-E,Phosphorus in Water by Colorimetry- Ascorbic Acid Method,APHA
4500-P-F,Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Metho,APHA
D515(B),Phosphorus in Water by Digestion/Colorimetric Reduction,ASTM
4500-P-D,Phosphorus in Water by Stannous Chloride Titration,APHA
4500-P-C,Phosphorus in Water by Vanadomolybdophosphoric Acid Colorimetry,APHA
6402,Phosphorus Trichloride by Visible Spec.,NIOSH
10209,"Phosphorus, Reactive (Orthophosphate) Ascorbic Acid Method",HACH
10214,"Phosphorus, Reactive (Orthophosphate) Molybdovanadate Method",HACH
10210,"Phosphorus, Total Ascorbic Acid Method",HACH
P-01,Phosphorus-32 in Fish Muscle,USEPA
OA-006-1,Photovac Portable GC for Soil/Water/Air,USEPA
506,Phthalate and Adipate Esters in Water,USEPA
8061A,Phthalate Esters by Capillary GC/ECD,USEPA
8060(ECD),Phthalate Esters by Gas Chromatography,USEPA
8060(FID),Phthalate Esters by Gas Chromatography,USEPA
8061,Phthalate Esters by Gas Chromatography,USEPA
606,Phthalate Esters in Wastewater by GC,USEPA
5020,Phthalates by GC/FID,NIOSH
10200-F,Phytoplankton Counting Techniques,APHA
B1505,Phytoplankton Enumberation- Counting Cell Method,USDOI/USGS
B1520,Phytoplankton Enumberation- Inverted-Microscope Method,USDOI/USGS
PMD-PIE(LC),Pindone by HPLC,USEPA
PMD-PIE(UV),Pindone by UV Spectroscopy,USEPA
PMD-PIO,Piperonyl Butoxide Qualitative Test,USEPA
960.43,Piperonyl Butoxide Residues,AOAC
PMD-PJB,Pirimicarb by UV Spectroscopy,USEPA
PMD-PJE(GC),Pirimiphos-Ethyl by GC/FID,USEPA
PMD-PJM,Pirimiphos-Methyl by GC/FID,USEPA
255.1,Platinum by FLAA,USEPA
255.2,Platinum by GFAA,USEPA
3500-PT,Platinum in Water by FLAA,APHA
00-09,Plutonium and Uranium in Milk,USEPA
PU_01,Plutonium in Air Filters,USDOE/EML
PU_07,Plutonium in Large Urine Samples,USDOE/EML
PU_03,Plutonium in Soil Residue,USDOE/EML
PU_02,Plutonium in Soil Samples,USDOE/EML
PU_04,Plutonium in Tissue,USDOE/EML
PU_05,Plutonium in Tissue,USDOE/EML
PU_06,Plutonium in Urine,USDOE/EML
PU_08,Plutonium in Vegetation Samples,USDOE/EML
PU_09,Plutonium in Vegetation Samples,USDOE/EML
D3865,Plutonium in Water,ASTM
PU_10,Plutonium in Water,USDOE/EML
PU-01,Plutonium in Water and Ashed Samples,USEPA
00-04,"Plutonium, Thorium & Uranium in Air Filters",USEPA
005(A),"Plutonium, Uranium and Thorium in Air",USEPA
005(S),"Plutonium, Uranium and Thorium in Soil",USEPA
005(BT),"Plutonium, Uranium and Thorium in Tissue",USEPA
005(W),"Plutonium, Uranium and Thorium in Water",USEPA
PU-02,Plutonium-236 Tracer Solution,USEPA
PMD-VAE,PMP by UV Spectroscopy,USEPA
200.62(B),Pneumatic Nebulization ICP Analysis,USEPA
5033,p-Nitroaniline by HPLC,NIOSH
985.43,Poliovirus 1 in Oysters,AOAC
PO_02(S),Polonium in Soil and Air Filters,USDOE/EML
PO_01,Polonium in Water and Urine,USDOE/EML
PO_02(W),Polonium in Water and Vegetation,USDOE/EML
111,Polonium-210 Emissions,USEPA
6 (PO-210),Polonium-210 in Soil and Air Filters,USEPA
PMD-PBS,Polybrominated Salicylanilides by UV,USEPA
8082,Polychlorinated Biphenyls (PCBs) by Gas Chromatography,USEPA
6431-C,Polychlorinated Biphenyls in Water by GC,APHA
8280(W),Polychlorinated Dioxins and Furans,USEPA
8290,Polychlorinated PCDDs and PCDFs by HRGC/HRMS,USEPA
5517,Polychlorobenzenes by GC/ECD,NIOSH
5503,Polychlorobiphenyls by GC/ECD,NIOSH
8004,Polychlorobiphenyls in Serum by GC/ECD,NIOSH
6431-B,Polychorinated Biphenyls in Water by GC,APHA
8280(S),Polychorinated Dioxins and Furans,USEPA
8280A(O),Polychorinated Dioxins and Furans,USEPA
8280A(S),Polychorinated Dioxins and Furans,USEPA
8280A(W),Polychorinated Dioxins and Furans,USEPA
D5412,Polycyclic Aromatic Hydrocarbon Mixtures,ASTM
550,Polycyclic Aromatic Hydrocarbons by HPLC,USEPA
550.1,Polycyclic Aromatic Hydrocarbons by HPLC,USEPA
PAH-005,Polycyclic Aromatic Hydrocarbons in Soil,USEPA
PAH-006,Polycyclic Aromatic Hydrocarbons in Water,USEPA
6440-B,Polynuclear Aromatic Hydrocarbons,APHA
8310,Polynuclear Aromatic Hydrocarbons,USEPA
O3113,Polynuclear Aromatic Hydrocarbons,USDOI/USGS
5515,Polynuclear Aromatic Hydrocarbons by GC,NIOSH
610,Polynuclear Aromatic Hydrocarbons by GC,USEPA
6440-C,Polynuclear Aromatic Hydrocarbons by GC,APHA
8100,Polynuclear Aromatic Hydrocarbons by GC,USEPA
1654,Polynuclear Aromatic Hydrocarbons in Oil,USEPA
5506,"Polynuclear Aromatic Hydrocarbons, HPLC",NIOSH
258.1,Potassium by FLAA,USEPA
258.1_M,Potassium by FLAA,USEPA
7610,Potassium by FLAA,USEPA
I1630(S),Potassium in Bottom Material by FLAA,USDOI/USGS
973.53,Potassium in Water,AOAC
3500-K-B,Potassium in Water by FLAA,APHA
D4192,Potassium in Water by FLAA,ASTM
I1630(W),Potassium in Water by FLAA,USDOI/USGS
I3631,Potassium in Water by FLAA,USDOI/USGS
3500-K-D,Potassium in Water by Flame Photometry,APHA
3500-K-C,Potassium in Water by ICP,APHA
3500-K-E,Potassium in Water Using an ISE,APHA
4500-F-B,Preliminary Distillation of Fluoride,APHA
909.0M,Prescribed Procedures for Measurement of Radioactivity in Drinking Water (EPA600-4-80-032),USEPA
PMD-PNM(GC),Prochloraz by GC/FID,USEPA
PMD-PNM(LC),Prochloraz by HPLC,USEPA
B8100,Productivity & Community Matabolism by Diel O2-Curve Stratified W,USDOI/USGS
B8120,Productivity & Community Metabolism by Diel O2-Curve Streams,USDOI/USGS
B8020,Productivity- Carbon-14 Light/Dark-Bottle Method for Phytoplankto,USDOI/USGS
B8001,Productivity- Oxygen Light/Dark-Bottle Method for Phytoplankton,USDOI/USGS
B8040,Productivity- Oxygen Light/Dark-Enclosure Method for Periphyton,USDOI/USGS
PM-01,Promethium-147 in Aqueous and Urine Samples,USEPA
PM-02,Promethium-147 in Feces Ash,USEPA
PMD-POD,Prometon and Simazine by GC/FID,USEPA
PMD-POT(GC),Propargite by GC/TCD,USEPA
PMD-POT(IR),Propargite by IR Spectroscopy,USEPA
PMD-PPD,Propionic Acid by GC/FID,USEPA
1013,Propylene Dichloride by GC/ECD,NIOSH
PMD-POJ,Propylene Glycol by GC/TCD,USEPA
1612,Propylene Oxide by GC/FID,NIOSH
9711-C,Protozoa: Entamoeba histolytica in Water,APHA
D5246,Pseudomonas aeruginosa,ASTM
B0105,Pseudomonas aeruginosa- Plate Count,USDOI/USGS
602,Purgeable Aromatics in Wastewater by GC,USEPA
601,Purgeable Halocarbons in Wastewater,USEPA
O3115,Purgeable Organic Compounds in Water,USDOI/USGS
9021,Purgeable Organic Halides in Water,USEPA
SFSAS_5,Purgeable Organics in Fish,USEPA
SFSAS_7,Purgeable Organics in Sediment,USEPA
624,Purgeable Organics in Wastewater,USEPA
D3871,Purgeable Organics in Water,ASTM
524.2,Purgeable Organics in Water by CGC/MS,USEPA
524.1,Purgeable Organics in Water by GC/MS,USEPA
PMD-PYA(IR),Pyrazon by IR Spectroscopy,USEPA
PMD-PYA(UV),Pyrazon by UV Spectroscopy,USEPA
1660,Pyrethrins and Pyrethroids in Water,USEPA
PMD-PYR(GC1),Pyrethrins by GC/FID,USEPA
PMD-PYR(LC1),Pyrethrins by HPLC,USEPA
PMD-PYR(TITR),Pyrethrins I and II by Titration,USEPA
PMD-PYR(GC2),"Pyrethrins, MGK-264 and PBTO by HPLC",USEPA
PMD-PYR(LC2),"Pyrethrins, MGK-264 and PBTO by HPLC",USEPA
PMD-PYR(TD),"Pyrethrins, Technical Data",USEPA
5008,Pyrethrum by HPLC/UV,NIOSH
1613,Pyridine by GC/FID,NIOSH
R-001-1,QC for Alpha/Beta Sample Analysis,USEPA
PMD-QAC(TIT3),Quaternary Ammonium Cl and Br by Titration,USEPA
PMD-QAC(TD),Quaternary Ammonium Compound Technical Data,USEPA
960.14(A),Quaternary Ammonium Compounds,AOAC
960.14(B),Quaternary Ammonium Compounds,AOAC
PMD-QAC(TIT1),Quaternary Ammonium Compounds Ferricyanide,USEPA
PMD-QAC(COLR),Quaternary Ammonium Compounds Qualitative,USEPA
PMD-QAC(TIT2),"Quaternary Ammonium Compounds, Epton Titr.",USEPA
7500-CS(B),Radioactive Cesium,APHA
901,Radioactive Cesium in Drinking Water,USEPA
D2334(B),Radioactive Iodine - Distillation,ASTM
D2334(C),Radioactive Iodine - Extraction,ASTM
D2334(A),Radioactive Iodine - Ion-Exchange,ASTM
7500-I-D,Radioactive Iodine by Distillation,APHA
7500-I-C,Radioactive Iodine by Ion-Exchange,APHA
7500-I-B,Radioactive Iodine by Precipitation,APHA
902,Radioactive Iodine in Water,USEPA
D4922,Radioactive Iron in Water,ASTM
905,Radioactive Strontium in Water,USEPA
114,Radionuclide Emissions,USEPA
RS100,Radionuclides by Borehole Logging,USDOE/ASD
D2460,Radionuclides of Radium in Water,ASTM
R1150,Radioruthenium,USDOI/USGS
SR-04,Radiostrontium in Aqueous Media,USEPA
SR-01,Radiostrontium in Food Ash and Solids,USEPA
SR-02,Radiostrontium in Milk,USEPA
R1140,Radium,USDOI/USGS
900.1,Radium in Drinking Water,USEPA
903,Radium in Drinking Water,USEPA
7500-RA(C),Radium in Water by Emanation,APHA
7500-RA(B),Radium in Water by Precipitation,APHA
7500-RA(D),Radium in Water by Sequential Precipitation,APHA
RA-06,Radium-224,USDOE/EML
R1141,Radium-226,USDOI/USGS
RA-04,Radium-226,USDOE/EML
RA-05,Radium-226,USDOE/EML
RA-07,Radium-226,USDOE/EML
RA-02,Radium-226 - Chromate Method,USDOE/EML
RA-03,Radium-226 - Emanation Procedure,USDOE/EML
004(A),Radium-226 and Radium-228 in Air,USEPA
004(S),Radium-226 and Radium-228 in Soil,USEPA
004(W),Radium-226 and Radium-228 in Water,USEPA
RA-04,Radium-226 De-emanation Procedure,USEPA
RP450,Radium-226 in Aqueous Samples,USDOE/ASD
RA-01,Radium-226 in Bone Ash,USDOE/EML
903.1,Radium-226 in Drinking Water,USEPA
RA-01,Radium-226 in Solids,USEPA
RA-02,Radium-226 in Urine,USEPA
D3454,Radium-226 in Water by Radon Scintillation,ASTM
RA-03,Radium-226 in Water Samples,USEPA
9320,Radium-228,USEPA
R1142,Radium-228,USDOI/USGS
904,Radium-228 in Drinking Water,USEPA
RA-05,Radium-228 in Water Samples,USEPA
7500-RN(B),Radon Analysis by liquid scintillation method,APHA
D5072,Radon in Drinking Water,ASTM
002(A),Radon-222 in Air,USEPA
RN-01,Radon-222 in Air and Breath Samples,USDOE/EML
002(W),Radon-222 in Water,USEPA
NITRO-19,Reactive Nitrate in Seawater,USDOC/NOAA
NITRO-20,Reactive Nitrite in Seawater,USDOC/NOAA
8048,Reactive Phosphorus in Water,HACH
D5244,Recovery of Enteroviruses from Waters,ASTM
D4994(A),Recovery of Viruses by Adsorption,ASTM
D4994(B),Recovery of Viruses by Sonication,ASTM
MS100,Reflectometry-Based Instrument,USDOE/ASD
1RM-5,Release of Mercury from Mercury Cell,ENV/CANADA
4500-CL(G),Residual Chlorine by Colorimetry- DPD Colorimetric Method,APHA
4500-CL(H),Residual Chlorine by FACTS- Syringaldazine Method,APHA
4500-CL(I),Residual Chlorine by Iodometirc Electrode Technique,APHA
D1253,Residual Chlorine in Water,ASTM
4500-CL(D),Residual Chlorine in Water by Titration- Amperometric Method,APHA
4500-CL(F),Residual Chlorine in Water by Titration- DPD Ferrous Method,APHA
4500-CL(B),Residual Chlorine in Water by Titration- Iodometric Method I,APHA
4500-CL(C),Residual Chlorine in Water by Titration- Iodometric Method II,APHA
4500-CL(E),Residual Chlorine in Water by Titration- Low-Level Amperometric M,APHA
4500-O3,Residual Ozone by Indigo Colorimetric Method,APHA
I1749,Residue by Evaporation and Gravimetric,USDOI/USGS
I1750,Residue by Evaporation and Gravimetric,USDOI/USGS
I3750,Residue by Evaporation and Gravimetric,USDOI/USGS
I3765,Residue by Evaporation and Gravimetric,USDOI/USGS
8271,"Residue, Total Solids",HACH
8277,"Residue, Volatile, Filterable (dissolved)",HACH
PMD-RES(GC2),Resmethrin by GC/FID,USEPA
PMD-RES(IR),Resmethrin by IR Spectroscopy,USEPA
PMD-RES(GC1),Resmethrin in Aerosols by GC,USEPA
PMD-RES(LC),Resmethrin in Aerosols by HPLC,USEPA
600,Respirable Particulates by Gravimetric,NIOSH
IP-10A,Respirable Particulates in Indoor Air,USEPA
IP-10B,Respirable Particulates in Indoor Air,USEPA
264.1,Rhenium by FLAA,USEPA
264.2,Rhenium by GFAA,USEPA
3500-RE,Rhenium in Water by FLAA,APHA
265.1,Rhodium by FLAA,USEPA
265.2,Rhodium by GFAA,USEPA
3500-RH,Rhodium in Water by FLAA,APHA
5027,Ribavirin by HPLC/UV,NIOSH
PMD-FCL(GC),Ronnel by GC/FID,USEPA
PMD-FCL(IR),Ronnel by IR Spectroscopy,USEPA
PMD-ROT,Rotenone by HPLC,USEPA
5007,Rotenone by HPLC/UV,NIOSH
635,Rotenone in Wastewater by HPLC,USEPA
267.1,Ruthenium by FLAA,USEPA
267.2,Ruthenium by GFAA,USEPA
3500-RU,Ruthenium in Water by FLAA,APHA
PMD-SAE,Salicylanilide by UV Spectroscopy,USEPA
2520-D,Salinity in Water- Algorithm of Practical Salinity,APHA
2520-C,Salinity in Water- Density Method,APHA
2520-B,Salinity in Water- Electrical Conductivity Method,APHA
B0100,Salmonella and Shigella- Plate Count,USDOI/USGS
967.25,Salmonella in Foods,AOAC
967.26,Salmonella in Foods,AOAC
967.27,Salmonella in Foods,AOAC
967.28,Salmonella in Foods,AOAC
975.54,Salmonella in Foods,AOAC
985.42,Salmonella in Foods,AOAC
987.1,Salmonella in Foods,AOAC
989.14,Salmonella in Foods,AOAC
989.15,Salmonella in Foods,AOAC
990.13,Salmonella in Foods,AOAC
991.12,Salmonella in Foods,AOAC
991.38,Salmonella in Foods,AOAC
993.08,Salmonella in Foods,AOAC
986.35,Salmonella in Foods by Photometer,AOAC
987.11,Salmonella in Low Moisture Foods,AOAC
978.24,Salmonella sp. in Foods,AOAC
989.12,Salmonella sp./E. coli in Foods,AOAC
991.13,"Salmonella, E. coli, Enterobac. in Foods",AOAC
1A,Sample and Velocity Traverses,USEPA
0011-0,Sampling for Formaldehyde Emissions,USEPA
0023A,Sampling for PCDD and PCDF Emissions,USEPA
9078,Screening for PCBs in Soil,USEPA
9079,Screening for PCBs in Transformer Oil,USEPA
PCB-004,Screening for PCBs in Water,USEPA
MC_VOA,Screening of Hexadecane Extracts,USEPA
MC_SVOA,Screening Semivolatile Organic Extracts,USEPA
8275,Screening Semivolatile Organics,USEPA
270.3,Selenium by FLAA,USEPA
7742,Selenium by Gaseous Borohydride AA,USEPA
270.2,Selenium by GFAA,USEPA
270.2_M,Selenium by GFAA,USEPA
I1667(S),Selenium in Bottom Material by HYDAA,USDOI/USGS
I2667(S),Selenium in Bottom Material by HYDAA,USDOI/USGS
7740,Selenium in Various Matrices by GFAA,USEPA
3500-SE(D),Selenium in Water by Colorimetry,APHA
3500-SE(E),Selenium in Water by Fluorimetry,APHA
7741A,Selenium in Water by Gaseous Hydride,USEPA
3500-SE(H),Selenium in Water by GFAA,APHA
D3859(B),Selenium in Water by GFAA,ASTM
3500-SE(C),Selenium in Water by HYDAA,APHA
D3859(A),Selenium in Water by HYDAA,ASTM
I1667(W),Selenium in Water by HYDAA,USDOI/USGS
I2667(W),Selenium in Water by HYDAA,USDOI/USGS
3500-SE(I),Selenium in Water by ICP,APHA
RP530,Selenium-79 in Aqueous Samples,USDOE/ASD
8270C,Semivolatile Organic Compounds by CGC/MS,USEPA
8270C(S),Semivolatile Organic Compounds by CGC/MS,USEPA
8270C(W),Semivolatile Organic Compounds by CGC/MS,USEPA
8270D,Semivolatile Organic Compounds by GC/MS,USEPA
8410(A),Semivolatile Organics by GC/FTIR,USEPA
8410(BN),"Semivolatile Organics by GC/FTIR, B/N Extrct",USEPA
MC_SVOA(LS),Semivolatile Organics in Low Conc. Soils,USEPA
MC_SVOA(MS),Semivolatile Organics in Medium Conc. Soil,USEPA
8270B(S),Semivolatile Organics in Soil by GC/MS,USEPA
8250A,Semivolatile Organics in Water by GC/MS,USEPA
8270B(W),Semivolatile Organics in Water by GC/MS,USEPA
MC_SVOA(W),Semivolatile Organics in Waters,USEPA
1625(AW),"Semivolatiles - Acids, GC/MS",USEPA
1625(BNW),"Semivolatiles - Base/Neutrals, GC/MS",USEPA
1625(T),"Semivolatiles - Fish tissue, GC/MS",USEPA
1625(S),"Semivolatiles - Soil, GC/MS",USEPA
1665,Semivolatiles by Isotope Dilution GC/MS,USEPA
LC_SV,Semivolatiles in Low Concentration Water,USEPA
S-003-1,Semivolatiles in Soil (MeCl2 Extraction),USEPA
S-001-1,Semivolatiles in Water by CS2 Extraction,USEPA
B3401,Seston- Glass-fiber Filter Method,USDOI/USGS
160.5,Settleable Matter,USEPA
8165,Settleable Matter Solids in Wastewater,HACH
2540-F,Settleable Solids in Water,APHA
PMD-SEU,Siduron by UV Spectroscopy,USEPA
4500-SIO2(F),Silica by Flow Injection Analysis for Molybdate-Reactive Silicate,APHA
920.195,Silica in Water,AOAC
4500-SI(F),Silica in Water by Automated Colorimetry,APHA
D859,Silica in Water by Colorimetry,ASTM
I1700,Silica in Water by Colorimetry,USDOI/USGS
I2700,Silica in Water by Colorimetry,USDOI/USGS
4500-SI(B),Silica in Water by FLAA,APHA
D4517,Silica in Water by FLAA,ASTM
I1702,Silica in Water by FLAA,USDOI/USGS
4500-SI(C),Silica in Water by Gravimetric Analysis,APHA
4500-SI(G),Silica in Water by ICP,APHA
4500-SI(E),Silica in Water by Spectrophotometry- Heteropoly Blue Method,APHA
4500-SI(D),Silica in Water by Spectrophotometry- Molybdosilicate Method,APHA
4500-SIO2-C,Silica Molybdosilicate Method,APHA_SM20ED
4500-SIO2-C,Silica Molybdosilicate Method,21CABCH_WQX
8186,"Silica, Colorimetric",HACH
D4189,Silt Density Index of Water,ASTM
272.1,Silver by FLAA,USEPA
272.1_M,Silver by FLAA,USEPA
7760A,Silver by FLAA,USEPA
272.2,Silver by GFAA,USEPA
272.2_M,Silver by GFAA,USEPA
7761,Silver by GFAA,USEPA
D3866(A),Silver in Water by Chelation and FLAA,ASTM
I1720,Silver in Water by Chelation and FLAA,USDOI/USGS
D3866(B),Silver in Water by FLAA,ASTM
3500-AG(B),Silver in Water by FLAA or GFAA,APHA
D3866(C),Silver in Water by GFAA,ASTM
3500-AG(C),Silver in Water by ICP,APHA
3500-AG(D),Silver in Water by Spectrophotometry,APHA
PMD-SIM,Simazine by UV Spectroscopy,USEPA
4110-C,Single Column Ion Chromatography,APHA
C-019-1,Slug Test for Hydraulic Conductivity,USEPA
PMD-AS(ITE),Sodium Arsenite by Titration,USEPA
273.1,Sodium by FLAA,USEPA
273.1_M,Sodium by FLAA,USEPA
7770,Sodium by FLAA,USEPA
273.2,Sodium by GFAA,USEPA
PMD-NA-D,Sodium Chlorate and Metaborate by Titration,USEPA
PMD-NA-H,Sodium Fluoride by Ion Chromatography,USEPA
I1735(S),Sodium in Bottom Material by FLAA,USDOI/USGS
973.54,Sodium in Water,AOAC
3500-NA(B),Sodium in Water by FLAA,APHA
D4191,Sodium in Water by FLAA,ASTM
I1735(W),Sodium in Water by FLAA,USDOI/USGS
I3736,Sodium in Water by FLAA,USDOI/USGS
3500-NA(D),Sodium in Water by Flame Photometry,APHA
3500-NA(C),Sodium in Water by ICP,APHA
D2791,Sodium in Water by ISE-Na,ASTM
D3113(A),Sodium Salts of EDTA in Water,ASTM
D3113(B),Sodium Salts of EDTA in Water,ASTM
C-011-1,Soil % Moisture by Gravimetry,USEPA
9045B,Soil and Waste pH,USEPA
C-010-1,Soil Extractable Organics by Gravimetry,USEPA
C-013-1,Soil pH,USEPA
SFSAS_22,Soil Volume by Displacement Method,USEPA
SFSAS_21,Soil Volume by Volumetric Method,USEPA
920.193(B),Solids in Solution in Water,AOAC
920.193(C),Solids in Water by Ignition,AOAC
978.26,Somatic Cells in Milk,AOAC
9050,Specific Conductance,USEPA
9050A,Specific Conductance,USEPA
I1780,Specific Conductance,USDOI/USGS
120.6,Specific Conductance - Acid Deposition,IL/SWSD
973.4,Specific Conductance of Water,AOAC
C-014-1,Specific Gravity of Soil,USEPA
D854,Specific Gravity of Soils,ASTM
D1429(D),Specific Gravity of Water by Hydrometer,ASTM
D1429(A),Specific Gravity of Water by Pyncnometer,ASTM
D1429(B),Specific Gravity of Water Using Balance,ASTM
D1429(C),Specific Gravity of Water Using Flask,ASTM
4500-CN(K),Spot Test for Cyanides for Screening,APHA
P-02,Stable Phosphorous in Biological Samples,USEPA
B0001,Standard Plate Count- Membrane Filter Method,USDOI/USGS
D6503,Standard Test Method for Enterococci in Water Using Enterolert,ASTM
D6503-99,Standard Test Method for Enterococci in Water Using Enterolert,ASTM
D516-90,Standard Test Method for Sulfate Ion in Water,ASTM
D93-07,Standard Test Methods for Flash Point by Pensky-Martens Closed Cup Tester,ASTM
9222-C,Standard Total Coliform- Delayed-Incubation Procedure,APHA
9221-B,Standard Total Coliform- Fermentation Technique,APHA
9222B,Standard Total Coliform Membrane Filter Procedure,APHA
9222-B,Standard Total Coliform- Membrane Filter Procedure,APHA
976.31,Staphylococcal Enterotoxin in Foods,AOAC
980.32,Staphylococcal Enterotoxin in Foods,AOAC
975.55,Staphylococcus aureus in Foods,AOAC
980.37,Staphylococcus aureus in Foods,AOAC
987.09,Staphylococcus aureus in Foods,AOAC
6008,Stibine by Visible Spectrophotometry,NIOSH
PMD-STM(UV),Streptomycin by UV Spectroscopy,USEPA
PMD-STM(VIS),Streptomycin by Visible Spectroscopy,USEPA
SR-01(A),Strontium,USDOE/EML
7780,Strontium by FLAA,USEPA
I1800(S),Strontium in Bottom Material by FLAA,USDOI/USGS
RP501(1),Strontium in High Level Samples,USDOE/ASD
911.03,Strontium in Water,AOAC
3500-SR(B),Strontium in Water by FLAA,APHA
D3920,Strontium in Water by FLAA,ASTM
I1800(W),Strontium in Water by FLAA,USDOI/USGS
3500-SR(D),Strontium in Water by Flame Photometry,APHA
3500-SR(C),Strontium in Water by ICP,APHA
D3352,Strontium Ion in Water,ASTM
SR-01(SCN),Strontium-89,USDOE/EML
974.37,Strontium-89 and -90 in Milk,AOAC
7 (SR-89/90),Strontium-89 and Strontium-90 in Milk,USEPA
008(V),Strontium-89 and Strontium-90 in Plants,USEPA
008(S),Strontium-89 and Strontium-90 in Soil,USEPA
008(BT),Strontium-89 and Strontium-90 in Tissue,USEPA
008(W),Strontium-89 and Strontium-90 in Water,USEPA
R1160,Strontium-90,USDOI/USGS
SR-02,Strontium-90,USDOE/EML
RP510,Strontium-90 in Dissolved Samples,USDOE/ASD
RP520,"Strontium-90 in Soil, Water and Filter",USDOE/ASD
SR-03,Strontium-90 in Urine,USEPA
973.66,Strontium-90 in Water,AOAC
PMD-STY(GRAV),Strychnine by Acid Precipitation,USEPA
PMD-STY(LC),Strychnine by HPLC,USEPA
5016,Strychnine by HPLC/UV,NIOSH
PMD-STY(UV),Strychnine by UV Spectroscopy,USEPA
242.4,Substituted Urea Herbicides,USFDA
9035,Sulfate by Automated Colorimetry,USEPA
9036,Sulfate by Automated Colorimetry,USEPA
375_M(A),Sulfate by Colorimetry,USEPA
375.1,Sulfate by Colorimetry With Chloranilate,USEPA
375.3,Sulfate by Gravimetric Determination,USEPA
4500-SO4(E),Sulfate by Turbidimetric Analysis,APHA
375.4,Sulfate by Turbidimetric Determination,USEPA
9038,Sulfate by Turbidimetric Determination,USEPA
8051,Sulfate in Water,HACH
925.54,Sulfate in Water,AOAC
973.57,Sulfate in Water,AOAC
375.2,Sulfate in Water by Colorimetry,USEPA
4500-SO4(F),Sulfate in Water by Colorimetry,APHA
I2822,Sulfate in Water by Colorimetry,USDOI/USGS
4500-SO4(C),Sulfate in Water by Gravimetric Analysis,APHA
4500-SO4(D),Sulfate in Water by Gravimetric Analysis,APHA
4500-SO4(B),Sulfate in Water by Ion Chromatography,APHA
I1820,Sulfate in Water by Titration,USDOI/USGS
D516,Sulfate in Water by Turbidimeter,ASTM
I2823,Sulfate in Water by Turbidimetry,USDOI/USGS
375_M(B),Sulfate in Water by Turbidity,USEPA
375.6,Sulfate in Wet Deposition,IL/SWSD
D4130,Sulfate Ion in Water by Spectroscopy,ASTM
D4412,Sulfate-Reducing Bacteria,ASTM
B0400,Sulfate-Reducing Bacteria- MPN Method,USDOI/USGS
4500-S2(F),Sulfide by Calculation,APHA
376.2,Sulfide by Colorimetric Determination,USEPA
376.1,Sulfide by Titration with Iodine,USEPA
8131,Sulfide in Water,HACH
4500-S2(G),Sulfide in Water by Ion-Selective Electrode Method,APHA
9215,Sulfide in Water by ISE,USEPA
4500-S2(D),Sulfide in Water by Spectrophotometry,APHA
4500-S2(E),Sulfide in Water by Titration,APHA
I3840,Sulfide in Water by Titration,USDOI/USGS
D4658,Sulfide Ion in Water by ISE,ASTM
D4978(B),Sulfides in Wastes - Gas Tube,ASTM
D4978(A),Sulfides in Wastes - Lead Acetate Paper,ASTM
4500-SO3(C),Sulfite in Water by Colorimetry,APHA
377.1,Sulfite in Water by Titration,USEPA
4500-SO3(B),Sulfite in Water by Titration,APHA
8071,Sulfite in Water by Titration,HACH
PMD-S-UF(GRV1,Sulfur by CS2 Extraction and Gravimetry,USEPA
PMD-S-UF(GRV3,Sulfur by CS2 Extraction and Gravimetry,USEPA
